problem,pdf_page,layout,player_to_move,black_stones,white_stones,filename
1,2,partial-13x19,Black,5,5,problem-0001.sgf
2,2,partial-13x19,Black,7,7,problem-0002.sgf
3,2,partial-13x19,Black,11,10,problem-0003.sgf
4,2,partial-13x19,Black,10,8,problem-0004.sgf
5,2,partial-13x19,Black,8,9,problem-0005.sgf
6,2,partial-13x19,White,12,9,problem-0006.sgf
7,2,partial-13x19,Black,22,19,problem-0007.sgf
8,2,partial-13x19,White,5,8,problem-0008.sgf
9,2,partial-13x19,Black,10,8,problem-0009.sgf
10,3,partial-13x19,Black,13,11,problem-0010.sgf
11,3,partial-13x19,Black,11,11,problem-0011.sgf
12,3,partial-13x19,Black,8,9,problem-0012.sgf
13,3,partial-13x19,Black,13,11,problem-0013.sgf
14,3,partial-13x19,Black,9,9,problem-0014.sgf
15,3,partial-13x19,Black,8,8,problem-0015.sgf
16,3,partial-13x19,Black,7,7,problem-0016.sgf
17,3,partial-13x19,Black,12,14,problem-0017.sgf
18,3,partial-13x19,Black,7,7,problem-0018.sgf
19,4,partial-13x19,Black,13,14,problem-0019.sgf
20,4,partial-13x19,Black,18,19,problem-0020.sgf
21,4,partial-13x19,Black,17,18,problem-0021.sgf
22,4,partial-13x19,Black,11,12,problem-0022.sgf
23,4,partial-13x19,Black,8,7,problem-0023.sgf
24,4,partial-13x19,Black,15,15,problem-0024.sgf
25,4,partial-13x19,Black,19,19,problem-0025.sgf
26,4,partial-13x19,Black,25,27,problem-0026.sgf
27,4,partial-13x19,Black,13,12,problem-0027.sgf
28,5,partial-13x19,White,5,8,problem-0028.sgf
29,5,partial-13x19,Black,10,9,problem-0029.sgf
30,5,partial-13x19,Black,8,11,problem-0030.sgf
31,5,partial-13x19,Black,15,11,problem-0031.sgf
32,5,partial-13x19,Black,5,5,problem-0032.sgf
33,5,partial-13x19,Black,6,7,problem-0033.sgf
34,5,partial-13x19,Black,10,10,problem-0034.sgf
35,5,partial-13x19,Black,9,8,problem-0035.sgf
36,5,partial-13x19,Black,10,10,problem-0036.sgf
37,6,partial-13x19,Black,13,13,problem-0037.sgf
38,6,partial-13x19,Black,9,7,problem-0038.sgf
39,6,partial-13x19,Black,5,10,problem-0039.sgf
40,6,partial-13x19,White,8,4,problem-0040.sgf
41,6,partial-13x19,Black,5,6,problem-0041.sgf
42,6,partial-13x19,Black,6,5,problem-0042.sgf
43,6,partial-13x19,Black,13,11,problem-0043.sgf
44,6,partial-13x19,Black,5,5,problem-0044.sgf
45,6,partial-13x19,Black,11,11,problem-0045.sgf
46,7,partial-13x19,Black,5,5,problem-0046.sgf
47,7,partial-13x19,Black,8,7,problem-0047.sgf
48,7,partial-13x19,Black,10,14,problem-0048.sgf
49,7,partial-13x19,Black,9,10,problem-0049.sgf
50,7,partial-13x19,Black,11,11,problem-0050.sgf
51,7,partial-13x19,Black,13,12,problem-0051.sgf
52,7,partial-13x19,Black,4,4,problem-0052.sgf
53,7,partial-13x19,Black,7,8,problem-0053.sgf
54,7,partial-13x19,White,13,14,problem-0054.sgf
55,8,partial-13x19,Black,18,17,problem-0055.sgf
56,8,partial-13x19,Black,7,6,problem-0056.sgf
57,8,partial-13x19,Black,8,6,problem-0057.sgf
58,8,partial-13x19,Black,4,5,problem-0058.sgf
59,8,partial-13x19,Black,6,7,problem-0059.sgf
60,8,partial-13x19,Black,16,15,problem-0060.sgf
61,8,partial-13x19,Black,4,4,problem-0061.sgf
62,8,partial-13x19,Black,4,7,problem-0062.sgf
63,8,partial-13x19,Black,9,10,problem-0063.sgf
64,9,partial-13x19,Black,7,8,problem-0064.sgf
65,9,partial-13x19,Black,16,16,problem-0065.sgf
66,9,partial-13x19,Black,5,6,problem-0066.sgf
67,9,partial-13x19,White,10,8,problem-0067.sgf
68,9,partial-13x19,Black,5,6,problem-0068.sgf
69,9,partial-13x19,Black,7,5,problem-0069.sgf
70,9,partial-13x19,Black,11,11,problem-0070.sgf
71,9,partial-13x19,Black,14,15,problem-0071.sgf
72,9,partial-13x19,White,8,4,problem-0072.sgf
73,10,partial-13x19,Black,10,11,problem-0073.sgf
74,10,partial-13x19,Black,7,7,problem-0074.sgf
75,10,partial-13x19,Black,7,9,problem-0075.sgf
76,10,partial-13x19,Black,8,8,problem-0076.sgf
77,10,partial-13x19,Black,9,8,problem-0077.sgf
78,10,partial-13x19,Black,6,9,problem-0078.sgf
79,10,partial-13x19,Black,5,5,problem-0079.sgf
80,10,partial-13x19,Black,11,9,problem-0080.sgf
81,10,partial-13x19,Black,7,6,problem-0081.sgf
82,11,partial-13x19,Black,13,14,problem-0082.sgf
83,11,partial-13x19,Black,12,13,problem-0083.sgf
84,11,partial-13x19,Black,5,8,problem-0084.sgf
85,11,partial-13x19,White,13,12,problem-0085.sgf
86,11,partial-13x19,Black,19,14,problem-0086.sgf
87,11,partial-13x19,Black,19,19,problem-0087.sgf
